customer_id,signup_date,location_id,age_band,gender,customer_persona,preferred_sport,marketing_consent
CUST000075,2023-11-18,LOC003,45-54,Women,Urban Runner,Trail,False
CUST000076,2025-04-28,LOC001,35-44,Men,Urban Runner,Running,True
CUST000077,2025-10-12,LOC004,25-34,Women,Urban Runner,Running,True
CUST000078,2023-12-30,LOC008,35-44,Women,Outdoor Explorer,Running,False
CUST000079,2023-11-07,LOC004,25-34,Women,Studio Regular,Pilates,False
CUST000080,2024-07-17,LOC012,25-34,Men,Outdoor Explorer,Hiking,True
CUST000081,2025-12-21,LOC002,25-34,Men,Studio Regular,Pilates,True
CUST000082,2023-08-27,LOC005,25-34,Men,Urban Runner,Running,True
CUST000083,2025-09-16,LOC011,45-54,Women,Studio Regular,Running,True
CUST000084,2025-03-31,LOC001,35-44,Women,Active Lifestyle,Multi-Sport,True
CUST000085,2023-02-19,LOC013,55+,Women,Performance Athlete,Running,True
CUST000086,2024-05-01,LOC004,45-54,Women,Urban Runner,Running,True
CUST000087,2023-06-22,LOC006,55+,Women,Urban Runner,Running,False
CUST000088,2025-05-23,LOC004,35-44,Men,Outdoor Explorer,Trail,False
CUST000089,2023-02-24,LOC010,35-44,Women,Active Lifestyle,Multi-Sport,False
CUST000090,2025-10-28,LOC004,45-54,Women,Active Lifestyle,Running,False
CUST000091,2025-05-21,LOC001,35-44,Men,Studio Regular,Pilates,True
CUST000092,2024-12-30,LOC012,45-54,Men,Urban Runner,Running,False
CUST000093,2024-05-13,LOC013,35-44,Men,Active Lifestyle,Gym,False
CUST000094,2024-12-21,LOC014,35-44,Men,Outdoor Explorer,Hiking,False
CUST000095,2025-07-19,LOC004,45-54,Women,Studio Regular,Gym,True
CUST000096,2025-05-18,LOC012,35-44,Women,Performance Athlete,Running,True
CUST000097,2025-07-08,LOC007,25-34,Men,Outdoor Explorer,Hiking,True
CUST000098,2024-10-30,LOC007,55+,Men,Urban Runner,Running,True
CUST000099,2024-09-03,LOC007,25-34,Women,Outdoor Explorer,Trail,True
CUST000100,2025-03-20,LOC002,35-44,Women,Studio Regular,Pilates,False
CUST000101,2024-01-15,LOC004,35-44,Men,Urban Runner,Running,False
CUST000102,2023-12-21,LOC001,35-44,Women,Urban Runner,Gym,False
CUST000103,2025-03-29,LOC005,35-44,Women,Outdoor Explorer,Hiking,True
CUST000104,2025-07-28,LOC010,35-44,Women,Outdoor Explorer,Hiking,False
CUST000105,2025-05-07,LOC003,25-34,Men,Urban Runner,Running,True
CUST000106,2025-09-12,LOC011,45-54,Men,Studio Regular,Gym,False
CUST000107,2024-11-03,LOC014,45-54,Non-Binary / Other,Active Lifestyle,Gym,True
CUST000108,2024-12-28,LOC009,45-54,Men,Urban Runner,Gym,True
CUST000109,2025-03-30,LOC009,55+,Men,Urban Runner,Running,True
CUST000110,2025-08-14,LOC013,35-44,Women,Urban Runner,Running,False
CUST000111,2023-01-04,LOC009,35-44,Men,Active Lifestyle,Hiking,False
CUST000112,2024-03-14,LOC004,45-54,Men,Urban Runner,Running,True
CUST000113,2025-07-22,LOC001,25-34,Women,Studio Regular,Gym,True
CUST000114,2023-11-17,LOC010,55+,Women,Outdoor Explorer,Trail,False
CUST000115,2023-05-07,LOC002,35-44,Women,Active Lifestyle,Multi-Sport,False
CUST000116,2024-04-01,LOC001,55+,Men,Studio Regular,Pilates,True
CUST000117,2025-01-06,LOC002,35-44,Women,Outdoor Explorer,Hiking,True
CUST000118,2024-08-15,LOC013,35-44,Men,Outdoor Explorer,Hiking,True
CUST000119,2024-07-28,LOC009,35-44,Women,Active Lifestyle,Gym,True
CUST000120,2024-08-05,LOC001,45-54,Women,Studio Regular,Pilates,False
CUST000121,2025-11-27,LOC004,35-44,Men,Active Lifestyle,Pilates,True
CUST000122,2024-09-23,LOC013,25-34,Women,Urban Runner,Running,True
CUST000123,2025-08-30,LOC004,25-34,Women,Urban Runner,Running,True
CUST000124,2025-01-08,LOC008,25-34,Women,Urban Runner,Running,True
CUST000125,2025-05-03,LOC001,35-44,Women,Urban Runner,Hiking,True
CUST000126,2023-08-30,LOC003,18-24,Women,Performance Athlete,Trail,True
CUST000127,2025-06-27,LOC009,25-34,Women,Performance Athlete,Running,False
CUST000128,2025-03-01,LOC004,35-44,Men,Outdoor Explorer,Hiking,False
CUST000129,2025-06-07,LOC009,18-24,Men,Outdoor Explorer,Trail,True
CUST000130,2024-12-04,LOC004,18-24,Women,Performance Athlete,Trail,True
CUST000131,2025-10-22,LOC003,25-34,Women,Urban Runner,Running,True
CUST000132,2025-05-31,LOC011,25-34,Men,Studio Regular,Running,True
CUST000133,2024-10-27,LOC010,18-24,Men,Active Lifestyle,Hiking,False
CUST000134,2023-10-14,LOC005,25-34,Women,Urban Runner,Running,True
CUST000135,2025-12-28,LOC001,35-44,Men,Urban Runner,Running,True
CUST000136,2025-05-10,LOC013,25-34,Women,Outdoor Explorer,Trail,True
CUST000137,2023-07-15,LOC014,18-24,Men,Studio Regular,Gym,False
CUST000138,2023-01-10,LOC009,45-54,Men,Studio Regular,Pilates,False
CUST000139,2024-10-30,LOC012,45-54,Women,Outdoor Explorer,Hiking,False
CUST000140,2024-07-07,LOC012,25-34,Men,Urban Runner,Running,True
CUST000141,2025-07-13,LOC012,25-34,Men,Performance Athlete,Trail,True
CUST000142,2023-07-19,LOC001,35-44,Men,Active Lifestyle,Hiking,True
CUST000143,2025-05-19,LOC001,35-44,Women,Active Lifestyle,Hiking,True
CUST000144,2025-05-14,LOC009,55+,Men,Performance Athlete,Trail,False
CUST000145,2024-08-17,LOC001,45-54,Women,Urban Runner,Running,False
CUST000146,2024-03-18,LOC004,25-34,Men,Outdoor Explorer,Gym,False
CUST000147,2023-10-12,LOC009,35-44,Men,Urban Runner,Running,True
CUST000148,2025-07-12,LOC002,18-24,Women,Studio Regular,Pilates,True
CUST000149,2023-07-06,LOC006,55+,Men,Studio Regular,Running,True
CUST000150,2023-09-25,LOC007,18-24,Women,Active Lifestyle,Gym,True
CUST000151,2024-07-09,LOC008,25-34,Men,Studio Regular,Pilates,False
CUST000152,2025-03-14,LOC007,55+,Women,Performance Athlete,Hiking,True
CUST000153,2023-11-29,LOC008,25-34,Women,Active Lifestyle,Gym,True
CUST000154,2025-05-10,LOC008,25-34,Women,Urban Runner,Gym,False
CUST000155,2024-06-12,LOC001,45-54,Men,Active Lifestyle,Hiking,True
CUST000156,2025-12-29,LOC004,25-34,Men,Urban Runner,Gym,True
CUST000157,2023-09-01,LOC009,25-34,Women,Studio Regular,Gym,True
CUST000158,2024-10-30,LOC007,25-34,Women,Studio Regular,Gym,True
CUST000159,2025-12-06,LOC004,45-54,Men,Urban Runner,Hiking,True
CUST000160,2025-01-04,LOC004,45-54,Men,Outdoor Explorer,Hiking,True
CUST000161,2024-12-16,LOC003,25-34,Women,Studio Regular,Gym,False
CUST000162,2025-02-14,LOC002,18-24,Women,Active Lifestyle,Gym,True
CUST000163,2025-11-24,LOC009,18-24,Men,Urban Runner,Running,True
CUST000164,2023-09-21,LOC009,18-24,Women,Urban Runner,Running,True
CUST000165,2024-07-25,LOC001,25-34,Men,Active Lifestyle,Running,True
CUST000166,2023-10-03,LOC007,45-54,Women,Outdoor Explorer,Hiking,True
CUST000167,2024-08-02,LOC001,25-34,Women,Urban Runner,Running,False
CUST000168,2023-01-19,LOC001,25-34,Women,Studio Regular,Pilates,True
CUST000169,2023-03-28,LOC011,25-34,Men,Urban Runner,Running,False
CUST000170,2025-10-30,LOC014,25-34,Women,Active Lifestyle,Running,True
CUST000171,2025-09-23,LOC008,35-44,Women,Urban Runner,Trail,True
CUST000172,2024-07-13,LOC011,45-54,Men,Outdoor Explorer,Gym,True
CUST000173,2025-11-10,LOC013,18-24,Women,Urban Runner,Running,False
CUST000174,2025-10-03,LOC013,25-34,Women,Outdoor Explorer,Hiking,False
CUST000175,2023-07-19,LOC009,35-44,Men,Outdoor Explorer,Multi-Sport,True
CUST000176,2025-11-14,LOC013,25-34,Men,Performance Athlete,Gym,False
CUST000177,2025-06-07,LOC009,55+,Men,Active Lifestyle,Gym,True
CUST000178,2025-03-22,LOC011,35-44,Women,Urban Runner,Pilates,True
CUST000179,2023-01-13,LOC003,35-44,Men,Studio Regular,Pilates,True
CUST000180,2024-04-03,LOC003,18-24,Men,Active Lifestyle,Running,True
CUST000181,2024-05-08,LOC001,25-34,Women,Urban Runner,Running,True
CUST000182,2024-11-06,LOC009,45-54,Men,Urban Runner,Running,False
CUST000183,2025-12-30,LOC013,45-54,Men,Urban Runner,Running,False
CUST000184,2023-12-21,LOC001,25-34,Men,Studio Regular,Gym,True
CUST000185,2024-06-01,LOC001,25-34,Women,Outdoor Explorer,Hiking,False
CUST000186,2023-02-16,LOC002,18-24,Men,Urban Runner,Running,False
CUST000187,2024-06-20,LOC001,55+,Men,Active Lifestyle,Pilates,True
CUST000188,2024-09-18,LOC011,55+,Women,Studio Regular,Gym,False
CUST000189,2025-05-05,LOC013,25-34,Women,Outdoor Explorer,Hiking,True
CUST000190,2024-05-20,LOC008,45-54,Non-Binary / Other,Outdoor Explorer,Hiking,False
CUST000191,2023-05-13,LOC011,35-44,Women,Active Lifestyle,Multi-Sport,True
CUST000192,2025-07-30,LOC005,55+,Women,Urban Runner,Running,False
CUST000193,2025-04-02,LOC001,18-24,Men,Urban Runner,Trail,True
CUST000194,2025-11-01,LOC011,35-44,Women,Studio Regular,Multi-Sport,True
CUST000195,2024-08-17,LOC004,45-54,Women,Active Lifestyle,Multi-Sport,True
CUST000196,2024-05-31,LOC008,25-34,Men,Urban Runner,Running,True
CUST000197,2023-12-04,LOC007,35-44,Women,Performance Athlete,Gym,False
CUST000198,2025-12-17,LOC001,55+,Men,Studio Regular,Pilates,False
CUST000199,2025-05-12,LOC011,35-44,Men,Outdoor Explorer,Hiking,True
CUST000200,2025-08-27,LOC008,25-34,Women,Active Lifestyle,Hiking,False
CUST000201,2024-11-15,LOC002,25-34,Men,Active Lifestyle,Hiking,True
CUST000202,2024-03-12,LOC013,55+,Women,Active Lifestyle,Multi-Sport,True
CUST000203,2024-03-23,LOC007,35-44,Women,Urban Runner,Multi-Sport,False
CUST000204,2025-01-21,LOC008,25-34,Men,Performance Athlete,Running,True
CUST000205,2023-12-17,LOC004,55+,Women,Outdoor Explorer,Hiking,True
CUST000206,2024-09-24,LOC004,45-54,Women,Studio Regular,Pilates,True
CUST000207,2024-02-04,LOC007,35-44,Women,Active Lifestyle,Trail,True
CUST000208,2024-06-07,LOC004,25-34,Men,Urban Runner,Running,True
CUST000209,2025-06-26,LOC002,18-24,Men,Urban Runner,Running,True
CUST000210,2025-05-17,LOC013,25-34,Men,Studio Regular,Pilates,True
CUST000211,2023-11-16,LOC001,45-54,Women,Urban Runner,Running,True
CUST000212,2023-09-07,LOC004,25-34,Women,Studio Regular,Multi-Sport,True
CUST000213,2025-07-20,LOC007,45-54,Women,Outdoor Explorer,Hiking,True
CUST000214,2024-10-12,LOC011,35-44,Men,Urban Runner,Running,True
CUST000215,2025-01-04,LOC012,18-24,Women,Studio Regular,Gym,True
CUST000216,2025-01-19,LOC001,45-54,Men,Studio Regular,Pilates,False
CUST000217,2024-03-29,LOC007,18-24,Men,Urban Runner,Running,False
CUST000218,2025-07-27,LOC011,25-34,Women,Studio Regular,Hiking,False
CUST000219,2023-12-29,LOC004,25-34,Men,Urban Runner,Running,False
CUST000220,2024-06-11,LOC011,25-34,Men,Active Lifestyle,Pilates,True
CUST000221,2023-05-12,LOC013,35-44,Non-Binary / Other,Urban Runner,Gym,True
CUST000222,2023-12-12,LOC005,45-54,Women,Urban Runner,Multi-Sport,True
CUST000223,2025-05-17,LOC008,55+,Women,Outdoor Explorer,Hiking,True
CUST000224,2025-06-17,LOC001,35-44,Men,Studio Regular,Pilates,False
CUST000225,2024-10-26,LOC001,18-24,Women,Outdoor Explorer,Running,False
CUST000226,2025-05-23,LOC011,45-54,Women,Active Lifestyle,Trail,True
CUST000227,2025-07-06,LOC001,35-44,Women,Urban Runner,Running,True
CUST000228,2024-12-21,LOC001,35-44,Men,Studio Regular,Gym,True
CUST000229,2025-04-07,LOC007,35-44,Women,Active Lifestyle,Gym,True
CUST000230,2025-12-07,LOC004,25-34,Women,Studio Regular,Pilates,True
CUST000231,2023-06-19,LOC001,55+,Women,Urban Runner,Gym,False
CUST000232,2024-06-13,LOC004,35-44,Women,Active Lifestyle,Gym,True
CUST000233,2025-06-18,LOC008,55+,Men,Outdoor Explorer,Hiking,True
CUST000234,2023-06-02,LOC009,18-24,Women,Urban Runner,Running,False
CUST000235,2024-06-19,LOC008,35-44,Women,Urban Runner,Gym,False
CUST000236,2025-08-28,LOC002,35-44,Women,Active Lifestyle,Multi-Sport,True
CUST000237,2024-06-23,LOC001,55+,Men,Active Lifestyle,Running,True
CUST000238,2024-08-29,LOC001,18-24,Men,Urban Runner,Running,True
CUST000239,2024-06-17,LOC001,35-44,Men,Active Lifestyle,Gym,True
CUST000240,2025-01-17,LOC008,25-34,Women,Urban Runner,Running,True
CUST000241,2025-05-05,LOC004,25-34,Women,Performance Athlete,Running,True
CUST000242,2024-05-24,LOC009,18-24,Women,Active Lifestyle,Trail,True
CUST000243,2024-10-20,LOC009,25-34,Men,Urban Runner,Running,True
CUST000244,2024-05-08,LOC013,25-34,Men,Urban Runner,Trail,True
CUST000245,2025-02-01,LOC013,18-24,Men,Outdoor Explorer,Running,True
CUST000246,2025-06-29,LOC007,45-54,Women,Active Lifestyle,Running,True
CUST000247,2025-11-08,LOC007,45-54,Women,Urban Runner,Running,False
CUST000248,2025-02-13,LOC007,35-44,Men,Urban Runner,Running,True
CUST000249,2025-06-18,LOC012,55+,Women,Studio Regular,Gym,True
CUST000250,2025-12-03,LOC010,35-44,Women,Studio Regular,Gym,True
CUST000251,2024-08-25,LOC007,25-34,Women,Active Lifestyle,Running,False
CUST000252,2025-11-14,LOC001,55+,Women,Urban Runner,Running,True
CUST000253,2023-01-05,LOC003,45-54,Women,Urban Runner,Running,True
CUST000254,2024-01-08,LOC001,45-54,Women,Active Lifestyle,Gym,True
CUST000255,2024-10-27,LOC001,55+,Women,Urban Runner,Hiking,True
CUST000256,2025-03-28,LOC004,25-34,Women,Urban Runner,Multi-Sport,True
CUST000257,2025-12-16,LOC007,45-54,Women,Outdoor Explorer,Hiking,True
CUST000258,2024-03-15,LOC002,25-34,Women,Urban Runner,Running,True
CUST000259,2025-09-13,LOC005,55+,Women,Outdoor Explorer,Gym,True
CUST000260,2025-02-01,LOC005,18-24,Women,Active Lifestyle,Multi-Sport,False
CUST000261,2023-11-12,LOC013,25-34,Women,Active Lifestyle,Multi-Sport,True
CUST000262,2024-03-06,LOC014,45-54,Women,Outdoor Explorer,Hiking,True
CUST000263,2025-12-05,LOC001,45-54,Women,Studio Regular,Pilates,False
CUST000264,2025-10-28,LOC001,35-44,Men,Active Lifestyle,Pilates,True
CUST000265,2024-06-13,LOC009,35-44,Men,Urban Runner,Gym,True
CUST000266,2023-01-20,LOC003,55+,Men,Urban Runner,Hiking,True
CUST000267,2025-02-15,LOC004,18-24,Men,Studio Regular,Pilates,True
CUST000268,2025-10-07,LOC004,45-54,Women,Outdoor Explorer,Gym,False
CUST000269,2024-11-27,LOC007,25-34,Men,Urban Runner,Running,True
CUST000270,2024-08-10,LOC002,18-24,Women,Urban Runner,Running,True
CUST000271,2025-09-12,LOC007,25-34,Women,Outdoor Explorer,Trail,True
CUST000272,2024-06-27,LOC006,45-54,Men,Urban Runner,Running,False
CUST000273,2025-05-31,LOC005,35-44,Women,Urban Runner,Running,True
CUST000274,2023-10-29,LOC008,18-24,Men,Outdoor Explorer,Hiking,True
CUST000275,2024-02-19,LOC004,35-44,Men,Active Lifestyle,Multi-Sport,True
CUST000276,2023-11-26,LOC007,35-44,Women,Active Lifestyle,Pilates,True
CUST000277,2024-10-16,LOC001,55+,Women,Active Lifestyle,Multi-Sport,True
CUST000278,2023-02-21,LOC003,18-24,Women,Urban Runner,Running,True
CUST000279,2023-10-25,LOC008,35-44,Men,Studio Regular,Pilates,True
CUST000280,2025-07-07,LOC009,25-34,Men,Urban Runner,Multi-Sport,False
CUST000281,2024-10-15,LOC006,55+,Women,Outdoor Explorer,Trail,True
CUST000282,2024-12-14,LOC009,25-34,Men,Performance Athlete,Trail,True
CUST000283,2025-11-20,LOC004,35-44,Non-Binary / Other,Outdoor Explorer,Multi-Sport,True
CUST000284,2025-04-16,LOC007,25-34,Women,Urban Runner,Running,False
CUST000285,2025-05-16,LOC005,25-34,Women,Outdoor Explorer,Gym,False
CUST000286,2023-11-20,LOC001,55+,Men,Outdoor Explorer,Multi-Sport,False
CUST000287,2024-04-09,LOC013,25-34,Women,Urban Runner,Running,True
CUST000288,2024-01-29,LOC011,45-54,Women,Studio Regular,Pilates,True
CUST000289,2025-06-28,LOC004,35-44,Women,Urban Runner,Hiking,True
CUST000290,2023-07-19,LOC008,55+,Women,Studio Regular,Pilates,False
CUST000291,2025-03-11,LOC005,55+,Women,Urban Runner,Running,True
CUST000292,2023-08-09,LOC007,35-44,Women,Urban Runner,Running,True
CUST000293,2025-11-30,LOC004,25-34,Women,Active Lifestyle,Pilates,False
CUST000294,2025-04-30,LOC009,35-44,Women,Active Lifestyle,Running,True
CUST000295,2024-02-03,LOC012,35-44,Women,Studio Regular,Pilates,True
CUST000296,2025-05-28,LOC005,18-24,Women,Active Lifestyle,Pilates,True
CUST000297,2023-11-06,LOC001,55+,Women,Outdoor Explorer,Hiking,True
CUST000298,2025-10-26,LOC009,18-24,Women,Active Lifestyle,Gym,True
CUST000299,2023-12-19,LOC011,25-34,Men,Urban Runner,Running,True
CUST000300,2025-10-19,LOC010,45-54,Men,Studio Regular,Multi-Sport,False
CUST000301,2025-08-24,LOC012,45-54,Women,Active Lifestyle,Gym,False
CUST000302,2023-09-13,LOC006,45-54,Women,Active Lifestyle,Hiking,True
CUST000303,2024-11-11,LOC013,25-34,Women,Urban Runner,Running,True
CUST000304,2024-05-24,LOC007,35-44,Women,Urban Runner,Multi-Sport,False
CUST000305,2023-01-04,LOC007,25-34,Women,Active Lifestyle,Pilates,True
CUST000306,2025-01-30,LOC001,45-54,Women,Outdoor Explorer,Trail,True
CUST000307,2023-05-17,LOC001,25-34,Men,Urban Runner,Running,True
CUST000308,2025-04-28,LOC004,25-34,Women,Active Lifestyle,Gym,False
CUST000309,2023-11-02,LOC006,45-54,Women,Urban Runner,Running,True
CUST000310,2025-11-11,LOC012,25-34,Women,Active Lifestyle,Multi-Sport,True
CUST000311,2024-09-04,LOC013,35-44,Women,Outdoor Explorer,Hiking,True
CUST000312,2024-01-02,LOC013,55+,Women,Outdoor Explorer,Trail,True
CUST000313,2024-05-26,LOC001,25-34,Women,Urban Runner,Running,True
CUST000314,2025-04-19,LOC001,45-54,Men,Outdoor Explorer,Trail,False
CUST000315,2023-08-21,LOC007,18-24,Women,Studio Regular,Hiking,True
CUST000316,2024-02-26,LOC007,18-24,Women,Studio Regular,Pilates,False
CUST000317,2025-03-09,LOC003,18-24,Men,Performance Athlete,Running,False
CUST000318,2025-01-05,LOC011,25-34,Men,Studio Regular,Running,True
CUST000319,2025-08-08,LOC004,35-44,Women,Active Lifestyle,Hiking,False
CUST000320,2025-03-10,LOC004,25-34,Women,Active Lifestyle,Running,False
CUST000321,2024-01-31,LOC008,25-34,Men,Performance Athlete,Trail,True
CUST000322,2025-11-06,LOC013,35-44,Women,Active Lifestyle,Running,True
CUST000323,2024-10-23,LOC011,55+,Men,Urban Runner,Running,True
CUST000324,2024-03-07,LOC009,45-54,Women,Active Lifestyle,Running,True
CUST000325,2025-04-14,LOC005,25-34,Men,Urban Runner,Gym,True
CUST000326,2023-04-14,LOC001,45-54,Women,Active Lifestyle,Hiking,False
CUST000327,2025-04-29,LOC007,25-34,Men,Outdoor Explorer,Trail,False
CUST000328,2025-01-08,LOC001,55+,Women,Urban Runner,Running,True
CUST000329,2025-10-22,LOC010,18-24,Men,Urban Runner,Running,False
CUST000330,2025-12-07,LOC011,25-34,Women,Studio Regular,Gym,True
CUST000331,2024-10-30,LOC009,25-34,Men,Urban Runner,Running,False
CUST000332,2025-10-19,LOC003,35-44,Men,Urban Runner,Trail,True
CUST000333,2025-05-04,LOC008,45-54,Men,Studio Regular,Running,True
CUST000334,2023-05-04,LOC002,45-54,Women,Active Lifestyle,Gym,True
CUST000335,2023-12-23,LOC011,25-34,Women,Urban Runner,Running,True
CUST000336,2024-07-01,LOC007,18-24,Men,Urban Runner,Running,False
CUST000337,2025-02-23,LOC008,35-44,Men,Outdoor Explorer,Hiking,False
CUST000338,2025-10-23,LOC005,45-54,Women,Active Lifestyle,Multi-Sport,True
CUST000339,2025-06-28,LOC005,25-34,Women,Urban Runner,Running,False
CUST000340,2025-01-19,LOC002,25-34,Women,Urban Runner,Gym,False
CUST000341,2025-09-08,LOC003,18-24,Women,Studio Regular,Gym,True
CUST000342,2025-06-18,LOC012,18-24,Women,Studio Regular,Running,True
CUST000343,2025-03-21,LOC002,35-44,Women,Studio Regular,Running,True
CUST000344,2025-09-17,LOC013,25-34,Men,Studio Regular,Trail,True
CUST000345,2024-07-01,LOC014,45-54,Women,Active Lifestyle,Multi-Sport,True
CUST000346,2024-05-09,LOC004,25-34,Women,Active Lifestyle,Gym,False
CUST000347,2023-04-01,LOC002,35-44,Women,Urban Runner,Running,False
CUST000348,2025-06-01,LOC004,18-24,Men,Urban Runner,Running,True
CUST000349,2024-12-29,LOC014,35-44,Women,Performance Athlete,Running,False
CUST000350,2024-10-16,LOC009,18-24,Women,Urban Runner,Running,True
CUST000351,2025-05-18,LOC001,45-54,Women,Studio Regular,Gym,True
CUST000352,2025-02-14,LOC004,35-44,Women,Urban Runner,Running,False
CUST000353,2025-08-20,LOC002,45-54,Men,Active Lifestyle,Multi-Sport,True
CUST000354,2024-09-07,LOC005,25-34,Women,Performance Athlete,Running,True
