customer_id,acquisition_date,acquisition_channel,campaign_id,first_touch_channel,last_touch_channel,acquisition_device,acquisition_platform,referral_flag
CUST000049,2023-04-22,Referral,,Referral,Referral,Mobile,Android,True
CUST000050,2025-09-05,Direct,,Direct,Direct,Mobile,Website,False
CUST000051,2023-04-17,Organic Search,,Organic Search,Organic Search,Mobile,Website,False
CUST000052,2025-04-26,Organic Social,,Organic Social,Organic Social,Mobile,Android,False
CUST000053,2025-08-19,Paid Social,CAMP0026,Influencer,Paid Social,Mobile,Website,False
CUST000054,2024-02-19,Paid Social,CAMP0015,Paid Social,Paid Social,Mobile,Website,False
CUST000055,2023-07-11,Paid Social,,Organic Search,Paid Social,Mobile,Android,False
CUST000056,2023-05-15,Organic Search,,Organic Search,Organic Search,Mobile,Android,False
CUST000057,2023-02-14,Organic Search,,Organic Search,Organic Search,Mobile,Website,False
CUST000058,2025-06-29,Paid Search,CAMP0053,Paid Search,Paid Search,Desktop,Website,False
CUST000059,2025-09-18,Influencer,,Influencer,Influencer,Mobile,iOS,False
CUST000060,2023-04-26,Paid Social,,Paid Social,Paid Social,Mobile,Website,False
CUST000061,2024-05-06,Influencer,,Paid Search,Influencer,Mobile,Website,False
CUST000062,2025-05-02,Referral,,Referral,Referral,Tablet,Website,True
CUST000063,2025-12-14,Paid Social,,Paid Social,Paid Social,Desktop,Website,False
CUST000064,2025-08-12,Paid Search,,Paid Search,Paid Search,Desktop,Website,False
CUST000065,2025-02-17,Paid Search,CAMP0038,Referral,Paid Search,Desktop,Website,False
CUST000066,2025-05-11,Paid Social,,Paid Social,Paid Social,Mobile,Website,False
CUST000067,2023-09-27,Paid Search,CAMP0016,Paid Search,Paid Search,Mobile,iOS,False
CUST000068,2024-09-23,Community Event,,Paid Social,Community Event,Mobile,Website,False
CUST000069,2025-12-04,Paid Search,CAMP0054,Paid Search,Paid Search,Desktop,Website,False
CUST000070,2025-03-13,Paid Search,,Paid Search,Paid Search,Mobile,Android,False
CUST000071,2024-06-24,Direct,,Influencer,Direct,Mobile,iOS,False
CUST000072,2024-06-19,Organic Search,,Organic Search,Organic Search,Mobile,Website,False
CUST000073,2025-12-15,Paid Search,CAMP0054,Paid Search,Paid Search,Mobile,Website,False
CUST000074,2023-11-11,Organic Social,,Influencer,Organic Social,Mobile,iOS,False
CUST000075,2023-11-18,Paid Search,,Paid Search,Paid Search,Mobile,Website,False
CUST000076,2025-04-28,Organic Social,,Referral,Organic Social,Mobile,Android,False
CUST000077,2025-10-12,Paid Social,,Influencer,Paid Social,Mobile,Website,False
CUST000078,2023-12-30,Paid Search,,Paid Search,Paid Search,Mobile,Website,False
CUST000079,2023-11-07,Paid Social,CAMP0071,Paid Social,Paid Social,Mobile,iOS,False
CUST000080,2024-07-17,Paid Search,,Direct,Paid Search,Tablet,iOS,False
CUST000081,2025-12-21,Referral,,Paid Social,Referral,Mobile,Website,True
CUST000082,2023-08-27,Direct,,Paid Search,Direct,Mobile,iOS,False
CUST000083,2025-09-16,Paid Search,CAMP0044,Referral,Paid Search,Desktop,Website,False
CUST000084,2025-03-31,Paid Social,CAMP0017,Paid Social,Paid Social,Mobile,Android,False
CUST000085,2023-02-19,Paid Social,,Paid Social,Paid Social,Mobile,Android,False
CUST000086,2024-05-01,Paid Social,,Paid Social,Paid Social,Mobile,Website,False
CUST000087,2023-06-22,Organic Search,,Organic Search,Organic Search,Desktop,Website,False
CUST000088,2025-05-23,Influencer,CAMP0003,Influencer,Influencer,Desktop,Website,False
CUST000089,2023-02-24,Influencer,,Organic Search,Influencer,Mobile,Website,False
CUST000090,2025-10-28,Paid Social,CAMP0002,Paid Social,Paid Social,Desktop,Website,False
CUST000091,2025-05-21,Organic Social,,Organic Search,Organic Social,Mobile,iOS,False
CUST000092,2024-12-30,Influencer,,Paid Social,Influencer,Mobile,Website,False
CUST000093,2024-05-13,Organic Search,,Organic Search,Organic Search,Desktop,Website,False
CUST000094,2024-12-21,Paid Search,,Paid Search,Paid Search,Mobile,Website,False
CUST000095,2025-07-19,Direct,,Direct,Direct,Mobile,Android,False
CUST000096,2025-05-18,Organic Search,,Organic Search,Organic Search,Mobile,Website,False
CUST000097,2025-07-08,Referral,,Referral,Referral,Mobile,Website,True
CUST000098,2024-10-30,Referral,,Referral,Referral,Mobile,Android,True
CUST000099,2024-09-03,Organic Search,,Paid Search,Organic Search,Mobile,Android,False
CUST000100,2025-03-20,Paid Social,CAMP0018,Paid Social,Paid Social,Mobile,iOS,False
CUST000101,2024-01-15,Community Event,,Community Event,Community Event,Mobile,Website,False
CUST000102,2023-12-21,Direct,,Direct,Direct,Mobile,iOS,False
CUST000103,2025-03-29,Paid Social,CAMP0017,Paid Social,Paid Social,Mobile,Website,False
CUST000104,2025-07-28,Organic Social,,Organic Search,Organic Social,Desktop,Website,False
CUST000105,2025-05-07,Organic Search,,Organic Search,Organic Search,Mobile,Website,False
CUST000106,2025-09-12,Direct,,Organic Search,Direct,Mobile,iOS,False
CUST000107,2024-11-03,Influencer,,Influencer,Influencer,Desktop,Website,False
CUST000108,2024-12-28,Community Event,,Direct,Community Event,Mobile,iOS,False
CUST000109,2025-03-30,Organic Social,,Organic Social,Organic Social,Desktop,Website,False
CUST000110,2025-08-14,Organic Search,,Organic Search,Organic Search,Desktop,Website,False
CUST000111,2023-01-04,Paid Search,,Paid Search,Paid Search,Mobile,iOS,False
CUST000112,2024-03-14,Direct,,Influencer,Direct,Mobile,Website,False
CUST000113,2025-07-22,Direct,,Direct,Direct,Mobile,Android,False
CUST000114,2023-11-17,Direct,,Community Event,Direct,Mobile,Android,False
CUST000115,2023-05-07,Direct,,Direct,Direct,Mobile,Website,False
CUST000116,2024-04-01,Direct,,Direct,Direct,Desktop,Website,False
CUST000117,2025-01-06,Organic Search,,Organic Search,Organic Search,Mobile,iOS,False
CUST000118,2024-08-15,Organic Search,,Organic Search,Organic Search,Desktop,Website,False
CUST000119,2024-07-28,Direct,,Direct,Direct,Desktop,Website,False
CUST000120,2024-08-05,Referral,,Referral,Referral,Mobile,iOS,True
CUST000121,2025-11-27,Organic Search,,Organic Search,Organic Search,Mobile,Website,False
CUST000122,2024-09-23,Referral,,Referral,Referral,Mobile,iOS,True
CUST000123,2025-08-30,Direct,,Direct,Direct,Mobile,iOS,False
CUST000124,2025-01-08,Influencer,,Influencer,Influencer,Mobile,Website,False
CUST000125,2025-05-03,Organic Search,,Organic Search,Organic Search,Mobile,Website,False
CUST000126,2023-08-30,Direct,,Direct,Direct,Mobile,Website,False
CUST000127,2025-06-27,Organic Social,,Organic Social,Organic Social,Mobile,iOS,False
CUST000128,2025-03-01,Direct,,Community Event,Direct,Mobile,Website,False
CUST000129,2025-06-07,Paid Search,CAMP0053,Paid Search,Paid Search,Mobile,Website,False
CUST000130,2024-12-04,Direct,,Direct,Direct,Desktop,Website,False
CUST000131,2025-10-22,Influencer,CAMP0012,Paid Search,Influencer,Mobile,iOS,False
CUST000132,2025-05-31,Paid Social,CAMP0036,Paid Search,Paid Social,Mobile,Website,False
CUST000133,2024-10-27,Paid Social,CAMP0010,Paid Search,Paid Social,Mobile,Website,False
CUST000134,2023-10-14,Paid Social,CAMP0050,Direct,Paid Social,Mobile,Website,False
CUST000135,2025-12-28,Organic Search,,Organic Social,Organic Search,Mobile,Website,False
CUST000136,2025-05-10,Paid Social,,Direct,Paid Social,Mobile,Website,False
CUST000137,2023-07-15,Direct,,Direct,Direct,Mobile,Android,False
CUST000138,2023-01-10,Influencer,,Influencer,Influencer,Desktop,Website,False
CUST000139,2024-10-30,Organic Search,,Organic Search,Organic Search,Desktop,Website,False
CUST000140,2024-07-07,Paid Social,,Referral,Paid Social,Mobile,iOS,False
CUST000141,2025-07-13,Paid Search,CAMP0053,Paid Search,Paid Search,Mobile,iOS,False
CUST000142,2023-07-19,Direct,,Community Event,Direct,Mobile,Website,False
CUST000143,2025-05-19,Paid Social,,Paid Social,Paid Social,Mobile,Website,False
CUST000144,2025-05-14,Organic Search,,Organic Search,Organic Search,Mobile,Android,False
CUST000145,2024-08-17,Organic Search,,Organic Search,Organic Search,Mobile,iOS,False
CUST000146,2024-03-18,Organic Search,,Community Event,Organic Search,Mobile,Website,False
CUST000147,2023-10-12,Direct,,Organic Search,Direct,Mobile,iOS,False
CUST000148,2025-07-12,Organic Social,,Organic Social,Organic Social,Mobile,Website,False
CUST000149,2023-07-06,Paid Social,,Paid Social,Paid Social,Mobile,Android,False
CUST000150,2023-09-25,Community Event,,Community Event,Community Event,Desktop,Website,False
CUST000151,2024-07-09,Organic Social,,Organic Social,Organic Social,Mobile,Website,False
CUST000152,2025-03-14,Organic Search,,Organic Search,Organic Search,Desktop,Website,False
CUST000153,2023-11-29,Paid Social,CAMP0071,Organic Search,Paid Social,Desktop,Website,False
CUST000154,2025-05-10,Organic Search,,Influencer,Organic Search,Mobile,iOS,False
CUST000155,2024-06-12,Organic Social,,Organic Social,Organic Social,Desktop,Website,False
CUST000156,2025-12-29,Direct,,Direct,Direct,Mobile,Website,False
CUST000157,2023-09-01,Organic Search,,Referral,Organic Search,Mobile,Android,False
CUST000158,2024-10-30,Direct,,Influencer,Direct,Desktop,Website,False
CUST000159,2025-12-06,Organic Search,,Organic Search,Organic Search,Desktop,Website,False
CUST000160,2025-01-04,Influencer,,Influencer,Influencer,Mobile,Website,False
CUST000161,2024-12-16,Community Event,,Community Event,Community Event,Mobile,iOS,False
CUST000162,2025-02-14,Influencer,CAMP0056,Influencer,Influencer,Mobile,Android,False
CUST000163,2025-11-24,Organic Search,,Organic Search,Organic Search,Mobile,iOS,False
CUST000164,2023-09-21,Paid Search,CAMP0016,Paid Search,Paid Search,Desktop,Website,False
CUST000165,2024-07-25,Organic Search,,Paid Search,Organic Search,Mobile,Website,False
CUST000166,2023-10-03,Direct,,Direct,Direct,Mobile,iOS,False
CUST000167,2024-08-02,Paid Social,,Referral,Paid Social,Mobile,Website,False
CUST000168,2023-01-19,Paid Social,,Direct,Paid Social,Mobile,Website,False
CUST000169,2023-03-28,Paid Search,,Paid Search,Paid Search,Mobile,iOS,False
CUST000170,2025-10-30,Paid Social,CAMP0002,Paid Social,Paid Social,Desktop,Website,False
CUST000171,2025-09-23,Community Event,CAMP0048,Community Event,Community Event,Desktop,Website,False
CUST000172,2024-07-13,Paid Search,,Paid Search,Paid Search,Desktop,Website,False
CUST000173,2025-11-10,Organic Search,,Organic Search,Organic Search,Mobile,Website,False
CUST000174,2025-10-03,Organic Search,,Organic Search,Organic Search,Desktop,Website,False
CUST000175,2023-07-19,Referral,,Referral,Referral,Mobile,Website,True
CUST000176,2025-11-14,Paid Social,CAMP0002,Paid Social,Paid Social,Desktop,Website,False
CUST000177,2025-06-07,Paid Search,CAMP0053,Paid Social,Paid Search,Desktop,Website,False
CUST000178,2025-03-22,Organic Search,,Direct,Organic Search,Desktop,Website,False
CUST000179,2023-01-13,Paid Social,,Paid Social,Paid Social,Tablet,iOS,False
CUST000180,2024-04-03,Community Event,,Community Event,Community Event,Desktop,Website,False
CUST000181,2024-05-08,Direct,,Direct,Direct,Desktop,Website,False
CUST000182,2024-11-06,Paid Social,CAMP0010,Paid Social,Paid Social,Mobile,Website,False
CUST000183,2025-12-30,Paid Social,,Organic Search,Paid Social,Mobile,iOS,False
CUST000184,2023-12-21,Direct,,Direct,Direct,Mobile,iOS,False
CUST000185,2024-06-01,Organic Search,,Organic Search,Organic Search,Mobile,Website,False
CUST000186,2023-02-16,Organic Search,,Referral,Organic Search,Mobile,Website,False
CUST000187,2024-06-20,Paid Social,,Paid Social,Paid Social,Desktop,Website,False
CUST000188,2024-09-18,Organic Social,,Organic Social,Organic Social,Mobile,Website,False
CUST000189,2025-05-05,Direct,,Community Event,Direct,Mobile,Android,False
CUST000190,2024-05-20,Organic Search,,Organic Search,Organic Search,Tablet,Website,False
CUST000191,2023-05-13,Paid Social,,Influencer,Paid Social,Mobile,iOS,False
CUST000192,2025-07-30,Organic Search,,Referral,Organic Search,Desktop,Website,False
CUST000193,2025-04-02,Organic Search,,Organic Social,Organic Search,Tablet,Website,False
CUST000194,2025-11-01,Organic Search,,Organic Search,Organic Search,Mobile,iOS,False
CUST000195,2024-08-17,Direct,,Direct,Direct,Mobile,Android,False
CUST000196,2024-05-31,Organic Search,,Organic Search,Organic Search,Desktop,Website,False
CUST000197,2023-12-04,Community Event,,Organic Search,Community Event,Mobile,Website,False
CUST000198,2025-12-17,Organic Social,,Organic Social,Organic Social,Desktop,Website,False
CUST000199,2025-05-12,Paid Social,,Organic Social,Paid Social,Mobile,Website,False
CUST000200,2025-08-27,Direct,,Direct,Direct,Mobile,Website,False
CUST000201,2024-11-15,Direct,,Direct,Direct,Mobile,Website,False
CUST000202,2024-03-12,Organic Search,,Paid Social,Organic Search,Desktop,Website,False
CUST000203,2024-03-23,Paid Search,,Paid Social,Paid Search,Mobile,iOS,False
CUST000204,2025-01-21,Direct,,Community Event,Direct,Mobile,Website,False
CUST000205,2023-12-17,Referral,,Paid Search,Referral,Mobile,iOS,True
CUST000206,2024-09-24,Organic Social,,Paid Search,Organic Social,Mobile,Website,False
CUST000207,2024-02-04,Community Event,,Community Event,Community Event,Mobile,Website,False
CUST000208,2024-06-07,Community Event,,Community Event,Community Event,Tablet,iOS,False
CUST000209,2025-06-26,Referral,,Paid Social,Referral,Mobile,Website,True
CUST000210,2025-05-17,Direct,,Direct,Direct,Desktop,Website,False
CUST000211,2023-11-16,Paid Search,,Paid Search,Paid Search,Desktop,Website,False
CUST000212,2023-09-07,Organic Social,,Influencer,Organic Social,Mobile,Android,False
CUST000213,2025-07-20,Organic Search,,Organic Search,Organic Search,Mobile,Website,False
CUST000214,2024-10-12,Organic Search,,Organic Search,Organic Search,Mobile,Website,False
CUST000215,2025-01-04,Influencer,,Influencer,Influencer,Mobile,Website,False
CUST000216,2025-01-19,Direct,,Direct,Direct,Desktop,Website,False
CUST000217,2024-03-29,Paid Search,,Paid Search,Paid Search,Mobile,iOS,False
CUST000218,2025-07-27,Organic Search,,Organic Search,Organic Search,Desktop,Website,False
CUST000219,2023-12-29,Organic Search,,Organic Search,Organic Search,Mobile,iOS,False
CUST000220,2024-06-11,Paid Social,,Paid Social,Paid Social,Desktop,Website,False
CUST000221,2023-05-12,Paid Social,,Paid Social,Paid Social,Mobile,Website,False
CUST000222,2023-12-12,Organic Social,,Referral,Organic Social,Mobile,iOS,False
CUST000223,2025-05-17,Referral,,Direct,Referral,Mobile,iOS,True
CUST000224,2025-06-17,Referral,,Direct,Referral,Mobile,Website,True
CUST000225,2024-10-26,Influencer,,Influencer,Influencer,Mobile,Website,False
CUST000226,2025-05-23,Organic Search,,Direct,Organic Search,Desktop,Website,False
CUST000227,2025-07-06,Paid Social,CAMP0039,Paid Social,Paid Social,Desktop,Website,False
CUST000228,2024-12-21,Direct,,Direct,Direct,Mobile,Website,False
CUST000229,2025-04-07,Community Event,,Community Event,Community Event,Desktop,Website,False
CUST000230,2025-12-07,Paid Social,,Paid Social,Paid Social,Mobile,Website,False
CUST000231,2023-06-19,Paid Social,,Organic Search,Paid Social,Desktop,Website,False
CUST000232,2024-06-13,Direct,,Paid Search,Direct,Desktop,Website,False
CUST000233,2025-06-18,Organic Search,,Organic Search,Organic Search,Desktop,Website,False
CUST000234,2023-06-02,Paid Social,,Paid Social,Paid Social,Mobile,Website,False
CUST000235,2024-06-19,Referral,,Referral,Referral,Mobile,Website,True
CUST000236,2025-08-28,Direct,,Paid Social,Direct,Mobile,iOS,False
CUST000237,2024-06-23,Paid Search,,Paid Search,Paid Search,Mobile,Website,False
CUST000238,2024-08-29,Community Event,,Community Event,Community Event,Desktop,Website,False
CUST000239,2024-06-17,Organic Search,,Organic Social,Organic Search,Mobile,iOS,False
CUST000240,2025-01-17,Organic Search,,Organic Search,Organic Search,Desktop,Website,False
CUST000241,2025-05-05,Direct,,Direct,Direct,Mobile,Website,False
CUST000242,2024-05-24,Direct,,Direct,Direct,Desktop,Website,False
CUST000243,2024-10-20,Organic Search,,Referral,Organic Search,Mobile,iOS,False
CUST000244,2024-05-08,Paid Social,,Paid Social,Paid Social,Mobile,Website,False
CUST000245,2025-02-01,Paid Search,CAMP0038,Paid Search,Paid Search,Mobile,Website,False
CUST000246,2025-06-29,Community Event,,Community Event,Community Event,Mobile,iOS,False
CUST000247,2025-11-08,Direct,,Direct,Direct,Mobile,Website,False
CUST000248,2025-02-13,Direct,,Direct,Direct,Tablet,Website,False
CUST000249,2025-06-18,Organic Search,,Influencer,Organic Search,Mobile,Website,False
CUST000250,2025-12-03,Organic Search,,Organic Search,Organic Search,Mobile,Website,False
CUST000251,2024-08-25,Direct,,Direct,Direct,Mobile,Android,False
CUST000252,2025-11-14,Referral,,Influencer,Referral,Mobile,Android,True
CUST000253,2023-01-05,Organic Search,,Organic Search,Organic Search,Desktop,Website,False
CUST000254,2024-01-08,Paid Social,,Paid Social,Paid Social,Mobile,Website,False
CUST000255,2024-10-27,Community Event,,Community Event,Community Event,Desktop,Website,False
CUST000256,2025-03-28,Organic Search,,Organic Search,Organic Search,Desktop,Website,False
CUST000257,2025-12-16,Paid Social,,Paid Social,Paid Social,Mobile,iOS,False
CUST000258,2024-03-15,Organic Social,,Organic Social,Organic Social,Mobile,Website,False
CUST000259,2025-09-13,Paid Search,CAMP0044,Paid Search,Paid Search,Mobile,Website,False
CUST000260,2025-02-01,Organic Social,,Influencer,Organic Social,Desktop,Website,False
CUST000261,2023-11-12,Referral,,Referral,Referral,Desktop,Website,True
CUST000262,2024-03-06,Organic Search,,Organic Search,Organic Search,Mobile,Android,False
CUST000263,2025-12-05,Organic Search,,Organic Search,Organic Search,Desktop,Website,False
CUST000264,2025-10-28,Organic Search,,Organic Search,Organic Search,Mobile,Website,False
CUST000265,2024-06-13,Referral,,Referral,Referral,Mobile,Website,True
CUST000266,2023-01-20,Paid Search,,Paid Search,Paid Search,Mobile,Website,False
CUST000267,2025-02-15,Organic Search,,Organic Social,Organic Search,Mobile,Website,False
CUST000268,2025-10-07,Paid Search,,Community Event,Paid Search,Desktop,Website,False
CUST000269,2024-11-27,Influencer,,Influencer,Influencer,Mobile,iOS,False
CUST000270,2024-08-10,Paid Social,,Referral,Paid Social,Mobile,iOS,False
CUST000271,2025-09-12,Organic Search,,Organic Search,Organic Search,Mobile,Website,False
CUST000272,2024-06-27,Paid Social,,Direct,Paid Social,Desktop,Website,False
CUST000273,2025-05-31,Influencer,CAMP0003,Paid Social,Influencer,Desktop,Website,False
CUST000274,2023-10-29,Paid Search,,Paid Search,Paid Search,Mobile,Website,False
CUST000275,2024-02-19,Organic Search,,Organic Search,Organic Search,Tablet,iOS,False
CUST000276,2023-11-26,Paid Social,CAMP0071,Paid Social,Paid Social,Desktop,Website,False
CUST000277,2024-10-16,Direct,,Direct,Direct,Mobile,Website,False
CUST000278,2023-02-21,Organic Search,,Organic Search,Organic Search,Mobile,Android,False
CUST000279,2023-10-25,Paid Search,,Community Event,Paid Search,Mobile,Website,False
CUST000280,2025-07-07,Direct,,Direct,Direct,Mobile,Website,False
CUST000281,2024-10-15,Paid Social,,Paid Social,Paid Social,Mobile,Website,False
CUST000282,2024-12-14,Community Event,,Community Event,Community Event,Desktop,Website,False
CUST000283,2025-11-20,Organic Search,,Organic Search,Organic Search,Desktop,Website,False
CUST000284,2025-04-16,Organic Search,,Organic Search,Organic Search,Mobile,iOS,False
CUST000285,2025-05-16,Organic Social,,Organic Social,Organic Social,Mobile,iOS,False
CUST000286,2023-11-20,Organic Search,,Organic Search,Organic Search,Mobile,Android,False
CUST000287,2024-04-09,Organic Search,,Paid Search,Organic Search,Mobile,Website,False
CUST000288,2024-01-29,Organic Search,,Organic Search,Organic Search,Desktop,Website,False
CUST000289,2025-06-28,Direct,,Direct,Direct,Desktop,Website,False
CUST000290,2023-07-19,Direct,,Direct,Direct,Mobile,iOS,False
CUST000291,2025-03-11,Influencer,CAMP0056,Influencer,Influencer,Desktop,Website,False
CUST000292,2023-08-09,Organic Search,,Influencer,Organic Search,Mobile,iOS,False
CUST000293,2025-11-30,Direct,,Direct,Direct,Mobile,Android,False
CUST000294,2025-04-30,Paid Social,CAMP0018,Influencer,Paid Social,Mobile,iOS,False
CUST000295,2024-02-03,Referral,,Referral,Referral,Mobile,Android,True
CUST000296,2025-05-28,Organic Search,,Direct,Organic Search,Mobile,Website,False
CUST000297,2023-11-06,Influencer,,Influencer,Influencer,Mobile,iOS,False
CUST000298,2025-10-26,Paid Search,,Paid Search,Paid Search,Mobile,Website,False
CUST000299,2023-12-19,Organic Social,,Organic Social,Organic Social,Desktop,Website,False
CUST000300,2025-10-19,Direct,,Influencer,Direct,Desktop,Website,False
CUST000301,2025-08-24,Organic Search,,Direct,Organic Search,Desktop,Website,False
CUST000302,2023-09-13,Referral,,Referral,Referral,Mobile,Android,True
CUST000303,2024-11-11,Referral,,Referral,Referral,Desktop,Website,True
CUST000304,2024-05-24,Organic Search,,Paid Search,Organic Search,Desktop,Website,False
CUST000305,2023-01-04,Organic Social,,Paid Social,Organic Social,Mobile,Android,False
CUST000306,2025-01-30,Organic Search,,Organic Search,Organic Search,Desktop,Website,False
CUST000307,2023-05-17,Organic Search,,Paid Social,Organic Search,Desktop,Website,False
CUST000308,2025-04-28,Organic Search,,Organic Search,Organic Search,Mobile,iOS,False
CUST000309,2023-11-02,Organic Search,,Organic Search,Organic Search,Desktop,Website,False
CUST000310,2025-11-11,Organic Search,,Community Event,Organic Search,Desktop,Website,False
CUST000311,2024-09-04,Referral,,Referral,Referral,Tablet,Website,True
CUST000312,2024-01-02,Organic Social,,Referral,Organic Social,Mobile,iOS,False
CUST000313,2024-05-26,Direct,,Referral,Direct,Mobile,iOS,False
CUST000314,2025-04-19,Referral,,Paid Social,Referral,Desktop,Website,True
CUST000315,2023-08-21,Paid Search,,Paid Search,Paid Search,Mobile,iOS,False
CUST000316,2024-02-26,Paid Social,CAMP0015,Paid Social,Paid Social,Mobile,iOS,False
CUST000317,2025-03-09,Organic Search,,Paid Social,Organic Search,Mobile,Website,False
CUST000318,2025-01-05,Referral,,Referral,Referral,Mobile,Website,True
CUST000319,2025-08-08,Paid Search,,Community Event,Paid Search,Desktop,Website,False
CUST000320,2025-03-10,Organic Search,,Paid Search,Organic Search,Mobile,iOS,False
CUST000321,2024-01-31,Organic Search,,Organic Search,Organic Search,Desktop,Website,False
CUST000322,2025-11-06,Organic Search,,Paid Social,Organic Search,Desktop,Website,False
CUST000323,2024-10-23,Direct,,Direct,Direct,Mobile,iOS,False
CUST000324,2024-03-07,Organic Search,,Community Event,Organic Search,Tablet,Website,False
CUST000325,2025-04-14,Direct,,Direct,Direct,Mobile,Android,False
CUST000326,2023-04-14,Paid Social,,Paid Social,Paid Social,Desktop,Website,False
CUST000327,2025-04-29,Organic Search,,Organic Search,Organic Search,Mobile,Website,False
CUST000328,2025-01-08,Paid Social,,Paid Social,Paid Social,Mobile,Website,False
CUST000329,2025-10-22,Organic Search,,Organic Search,Organic Search,Mobile,Website,False
CUST000330,2025-12-07,Organic Social,,Organic Social,Organic Social,Desktop,Website,False
CUST000331,2024-10-30,Paid Social,CAMP0010,Paid Social,Paid Social,Mobile,Android,False
CUST000332,2025-10-19,Influencer,CAMP0012,Influencer,Influencer,Mobile,Android,False
CUST000333,2025-05-04,Paid Social,,Community Event,Paid Social,Tablet,Android,False
CUST000334,2023-05-04,Referral,,Organic Search,Referral,Mobile,iOS,True
CUST000335,2023-12-23,Paid Social,,Paid Social,Paid Social,Mobile,iOS,False
CUST000336,2024-07-01,Organic Search,,Direct,Organic Search,Mobile,Website,False
CUST000337,2025-02-23,Referral,,Influencer,Referral,Mobile,Website,True
